111,2008-11-26 - 2008-12-03,112,2008-11-29 - 2008-12-06,1,1070,512,76.8798617113,53.1564501372
112,2008-11-29 - 2008-12-06,113,2008-12-02 - 2008-12-09,1,993,505,79.462254395,54.4223826715
113,2008-12-02 - 2008-12-09,114,2008-12-05 - 2008-12-12,1,1229,495,76.4288454162,55.4054054054
114,2008-12-05 - 2008-12-12,115,2008-12-08 - 2008-12-15,1,1200,514,77.4859287054,54.7933157432
115,2008-12-08 - 2008-12-15,116,2008-12-11 - 2008-12-18,1,1181,536,77.2051727466,52.3555555556
116,2008-12-11 - 2008-12-18,117,2008-12-14 - 2008-12-21,1,1073,523,77.6597959609,52.7551942186
117,2008-12-14 - 2008-12-21,118,2008-12-17 - 2008-12-24,1,1123,563,74.4424214838,47.6279069767
118,2008-12-17 - 2008-12-24,119,2008-12-20 - 2008-12-27,1,1174,542,66.3802978236,44.5807770961
119,2008-12-20 - 2008-12-27,120,2008-12-23 - 2008-12-30,1,838,429,68.8128023818,47.8736330498
120,2008-12-23 - 2008-12-30,121,2008-12-26 - 2009-01-02,1,876,417,64.7342995169,46.2628865979
121,2008-12-26 - 2009-01-02,122,2008-12-29 - 2009-01-05,1,724,362,68.9935760171,48.5795454545
122,2008-12-29 - 2009-01-05,123,2009-01-01 - 2009-01-08,1,622,316,73.0385782401,53.0460624071
123,2009-01-01 - 2009-01-08,124,2009-01-04 - 2009-01-11,1,614,352,75.0101750102,52.8150134048
124,2009-01-04 - 2009-01-11,125,2009-01-07 - 2009-01-14,1,607,336,77.3760715617,55.8475689882
125,2009-01-07 - 2009-01-14,126,2009-01-10 - 2009-01-17,1,763,399,74.8930569266,52.9481132075
126,2009-01-10 - 2009-01-17,127,2009-01-13 - 2009-01-20,1,798,427,76.404494382,51.4220705347
127,2009-01-13 - 2009-01-20,128,2009-01-16 - 2009-01-23,1,834,421,74.5886654479,51.775486827
128,2009-01-16 - 2009-01-23,129,2009-01-19 - 2009-01-26,1,748,420,77.2506082725,51.724137931
129,2009-01-19 - 2009-01-26,130,2009-01-22 - 2009-01-29,1,778,409,77.0026603606,53.5754824064
130,2009-01-22 - 2009-01-29,131,2009-01-25 - 2009-02-01,1,785,437,77.127039627,52.3965141612
131,2009-01-25 - 2009-02-01,132,2009-01-28 - 2009-02-04,1,840,438,77.105478332,52.8525296017
132,2009-01-28 - 2009-02-04,133,2009-01-31 - 2009-02-07,1,830,430,79.4350842418,53.5135135135
133,2009-01-31 - 2009-02-07,134,2009-02-03 - 2009-02-10,1,975,435,76.5342960289,52.5109170306
134,2009-02-03 - 2009-02-10,135,2009-02-06 - 2009-02-13,1,803,434,81.3299232737,54.2676501581
135,2009-02-06 - 2009-02-13,136,2009-02-09 - 2009-02-16,1,935,446,79.7750378542,55.0403225806
136,2009-02-09 - 2009-02-16,137,2009-02-12 - 2009-02-19,1,1043,471,77.2221008954,52.8528528529
137,2009-02-12 - 2009-02-19,138,2009-02-15 - 2009-02-22,1,894,447,80.7286053029,54.8484848485
138,2009-02-15 - 2009-02-22,139,2009-02-18 - 2009-02-25,1,1021,470,77.712289893,53.7401574803
139,2009-02-18 - 2009-02-25,140,2009-02-21 - 2009-02-28,1,1016,494,76.9614512472,51.568627451
140,2009-02-21 - 2009-02-28,141,2009-02-24 - 2009-03-03,1,1071,492,74.4391408115,51.0447761194
141,2009-02-24 - 2009-03-03,142,2009-02-27 - 2009-03-06,1,1020,468,75.0854909624,52.0982599795
142,2009-02-27 - 2009-03-06,143,2009-03-02 - 2009-03-09,1,887,444,78.3235581623,54.693877551
143,2009-03-02 - 2009-03-09,144,2009-03-05 - 2009-03-12,1,997,469,75.5397448479,53.3333333333
144,2009-03-05 - 2009-03-12,145,2009-03-08 - 2009-03-15,1,964,479,75.9481037924,50.9723643808
145,2009-03-08 - 2009-03-15,146,2009-03-11 - 2009-03-18,1,910,451,76.844783715,51.6613076099
146,2009-03-11 - 2009-03-18,147,2009-03-14 - 2009-03-21,1,904,423,75.8159443553,53.0521642619
147,2009-03-14 - 2009-03-21,148,2009-03-17 - 2009-03-24,1,726,429,80.5414098097,53.7715517241
148,2009-03-17 - 2009-03-24,149,2009-03-20 - 2009-03-27,1,971,468,75.725,51.3513513514
149,2009-03-20 - 2009-03-27,150,2009-03-23 - 2009-03-30,1,879,436,76.7398782747,52.7627302275
150,2009-03-23 - 2009-03-30,151,2009-03-26 - 2009-04-02,1,912,457,75.0615258409,49.8353457739
151,2009-03-26 - 2009-04-02,152,2009-03-29 - 2009-04-05,1,903,430,71.1593740019,49.9417927823
152,2009-03-29 - 2009-04-05,153,2009-04-01 - 2009-04-08,1,647,376,80.744047619,55.1847437426
153,2009-04-01 - 2009-04-08,154,2009-04-04 - 2009-04-11,1,830,403,77.9196594839,53.4104046243
154,2009-04-04 - 2009-04-11,155,2009-04-07 - 2009-04-14,1,1003,452,72.7445652174,48.8687782805
155,2009-04-07 - 2009-04-14,156,2009-04-10 - 2009-04-17,1,933,422,66.9031571479,47.0514429109
156,2009-04-10 - 2009-04-17,157,2009-04-13 - 2009-04-20,1,681,362,73.7471087124,52.987012987
157,2009-04-13 - 2009-04-20,158,2009-04-16 - 2009-04-23,1,633,369,78.8081687312,53.5264483627
158,2009-04-16 - 2009-04-23,159,2009-04-19 - 2009-04-26,1,835,430,73.5088832487,47.4327628362
159,2009-04-19 - 2009-04-26,160,2009-04-22 - 2009-04-29,1,742,375,74.0196078431,51.1082138201
160,2009-04-22 - 2009-04-29,161,2009-04-25 - 2009-05-02,1,715,362,76.8233387358,53.7084398977
